SCHOOL,% PASSED
DILIMAN COLLEGE-(FOR DILIMAN COMP. TECH INST.)-DIL. QC,0.00%
DIPOLOG CITY INSTITUTE OF TECHNOLOGY,17.39%
"DIPOLOG MEDICAL CENTER COLLEGE FOUNDATION, INC",40.00%
DIVINA PASTORA COLLEGE,5.56%
"DIVINE MERCY COLLEGE FOUNDATION, INC",2.04%
DIVINE WORD COLLEGE OF BANGUED,18.03%
DIVINE WORD COLLEGE OF CALAPAN,29.17%
DIVINE WORD COLLEGE OF LAOAG,20.00%
DIVINE WORD COLLEGE OF LEGAZPI,12.66%
DIVINE WORD COLLEGE OF SAN JOSE,25.00%
DIVINE WORD COLLEGE OF URDANETA,0.00%
DIVINE WORD COLLEGE OF VIGAN,18.42%
DMMA COLLEGE OF SOUTHERN PHILIPPINES (for.DAVAO MERCHANT MA),0.00%
DOMINICAN COLLEGE OF ILOILO,0.00%
DOMINICAN COLLEGE OF TARLAC,17.39%
"DON BOSCO TECHNOLOGY CENTER- PUNTA PRINCESA,CEBU",0.00%
DON CARLOS POLYTECHNIC COLLEGE,9.68%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,21.80%
DON JOSE ECLEO MEMORIAL EDUCATIONAL FOUNDATION,12.28%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- AGOO,33.06%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- BACNOTAN,25.30%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- SAN FERNANDO,26.49%
DON MARIANO MARCOS STATE U- OPEN UNIVERSITY,0.00%
"DOÑA JACINTA L. ESTEVES MEMORIAL COLLEGE-BAGANGA, DAVAO OR.",0.00%
DR. AURELIO MENDOZA MEMORIAL COLLEGES,4.00%
DR. CARLOS S. LANTING COLLEGE-ALBAY,16.90%
DR. CARLOS S. LANTING COLLEGE-Q. C.,27.27%
DR. EMILIO B. ESPINOSA SR. MEMORIAL AGRICULTURAL COLLEGE,14.61%
"DR. GLORIA D. LACSON FOUND. COLLEGES OF CABANATUAN CITY,INC.",0.00%
"DR. GLORIA D. LACSON FOUNDATION COLLEGES, INC.",0.00%
DR. NICANOR REYES MEMORIAL COLLEGES,0.00%
DR. P. OCAMPO COLLEGES,0.00%
"DR. SOLOMON U. MOLINA COLLEGE, INC",0.00%
"DR. YANGA'S COLLEGES, INC",32.00%
E. L. JOSON MEMORIAL COLLEGE,38.64%
"EAST COAST COLLEGE, INC",0.00%
EAST NEGROS INSTITUTE,0.00%
EASTER COLLEGE INC,16.67%
"EASTERN KUTAWATO COLLEGE, INC",0.00%
EASTERN LAGUNA COLLEGES,0.00%
EASTERN MINDORO COLLEGE,5.80%
EASTERN MINDORO INSTITUTE OF TECHNOLOGY & SCIENCES,17.24%
EASTERN QUEZON COLLEGE,19.61%
EASTERN SAMAR STATE UNIVERISITY- CAN-AVID CAMPUS,12.24%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,21.90%
EASTERN SAMAR STATE UNIVERSITY - GUIUAN CAMPUS,23.02%
EASTERN SAMAR STATE UNIVERSITY - SALCEDO CAMPUS,25.84%
EASTERN SAMAR STATE UNIVERSITY-MAYDOLONG(for. MAYDOLONG NAS),10.89%
EASTERN VISAYAS CENTRAL COLLEGE,6.12%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,21.69%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,0.00%
EBENEZER BIBLE COLLEGES & SEMINARY,16.67%
ECUMENICAL CHRISTIAN COLLEGE,0.00%
EDENTON MISSION COLLEGE,5.51%
EDNOR COLLEGE OF TECHNOLOGY,0.00%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,28.57%
EMILIO AGUINALDO COLLEGE- MANILA,0.00%
"ENTHUSIASTIC COLLEGE, INC.- MAGUINDANAO",0.00%
ESTENIAS SCIENCE FOUNDATION SCHOOL- CASIGURAN SORSOGON,25.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,28.26%
FAR EASTERN COLLEGE - SILANG,33.33%
FAR EASTERN UNIVERSITY- MANILA,64.29%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),50.00%
FATIMA COLLEGE OF CAMIGUIN,13.51%
FEBIAS COLLEGE OF BIBLE,50.00%
FELIPE R. VERALLO MEMORIAL FOUNDATION,7.69%
FELIX O. ALFELOR SR. FOUNDATION COLLEGE,9.09%
